83428,Mix Club,"24 Rue de l'Arrivée, Paris, France",attraction,Paris,48.842187,2.321283,ChIJrf_1reus8TURN3uV4bmAWoU,2030,0500,2030,0500,2030,0500,2030,0500,2030,0500,2030,0500,2030,0500,4
83458,Jardins du Trocadéro,"11 Place du Trocadéro et du 11 Novembre, Paris, France",attraction,Paris,48.861596,2.289282,ChIJoxY3R-Nv5kcRWsRDGBoNIOk,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5
83463,Le Jardin des Plantes,"57 Rue Cuvier, Paris, France",attraction,Paris,48.844331,2.359612,ChIJa-wm0fBx5kcRTj1XkfsieqY,0730,1830,0730,1830,0730,1830,0730,1830,0730,1830,0700,1830,0730,1830,4
83468,Parc des Buttes Chaumont,"1 Rue Botzaris, Paris, France",attraction,Paris,48.879974,2.381841,ChIJh9M-FMZt5kcRkZSVdmDta_I,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5
83477,Archives Nationales,"60 Rue des Francs Bourgeois, Paris, France",attraction,Paris,48.859954,2.35725,ChIJvcYgV0Vp5kcROrsXIALb9lk,N/A,N/A,N/A,N/A,0900,1645,0900,1645,0900,1645,0900,1645,0900,1645,4
83500,Parc de La Villette,"211 Avenue Jean Jaurès, Paris, France",attraction,Paris,48.893849,2.39026,ChIJHbrByclt5kcRn-ZGU8KjU_g,0600,0100,0600,0100,0600,0100,0600,0100,0600,0100,0600,0100,0600,0100,4
83501,Parc MontSouris,"2 Rue Gazan, Paris, France",attraction,Paris,48.822347,2.340591,ChIJN4tOxqNx5kcRsa159MJv2Q0,0700,1900,0700,1900,0700,1900,0700,1900,0700,1900,0700,1900,0700,1900,4
83502,Parc de Belleville,"47 Rue des Couronnes, Paris, France",attraction,Paris,48.870251,2.384591,ChIJtw1d4ett5kcRj07k-_vrf9s,0900,2130,0800,2130,0800,2130,0800,2130,0800,2130,0800,2130,0900,2130,4
83505,Parc De Bercy,"128 Quai de Bercy, Paris, France",attraction,Paris,48.836316,2.381295,ChIJ6XHvERZy5kcRcARsBv9AehU,0900,2030,0800,2030,0800,2030,0800,2030,0800,2030,0800,2030,0900,2030,4
83509,Square Saint-Médard,"Paris, France",attraction,Paris,48.839518,2.350012,ChIJ0U21Qexx5kcR1MofoY5Z8IY,0900,1900,0800,1900,0800,1900,0800,1900,0800,1900,0800,1900,0900,1900,4
83534,Petit Palais,"5 Avenue Dutuit, Paris, France",attraction,Paris,48.866084,2.31467,ChIJSUOPztFv5kcRnEbSPYG-9fM,1000,1800,N/A,N/A,1000,1800,1000,1800,1000,1800,1000,1800,1000,1800,5
83605,Musée du Vin,"5 Square Charles Dickens, Paris, France",attraction,Paris,48.85747,2.284625,ChIJefPpif1v5kcRGtIJpbxMHJ0,N/A,N/A,N/A,N/A,1000,1800,1000,1800,1000,1800,1000,1800,1000,1800,4
